metric,value
chunk_count,1428
keys,chunk_index|curated_chunk_id|curated_section_id|original_end_pdf_page|original_start_pdf_page|source_type|text|theme|title|word_count|year
unique_curated_section_id,114
empty_lines,0
parsing_errors,0
chunks_in_2007,55
chunks_in_2008,111
chunks_in_2009,117
chunks_in_2010,111
chunks_in_2011,135
chunks_in_2012,93
chunks_in_2013,90
chunks_in_2014,115
chunks_in_2015,97
chunks_in_2016,24
chunks_in_2017,32
chunks_in_2018,43
chunks_in_2019,53
chunks_in_2020,60
chunks_in_2021,59
chunks_in_2022,62
chunks_in_2023,63
chunks_in_2024,46
chunks_in_2025,62
