batch_id,batch_file,row_count,first_curated_section_id,last_curated_section_id,years,themes
batch_001,analysis/03_outputs/section_batches/section_batch_001.jsonl,10,CUR2007_S001,CUR2008_S004,2007|2008,metod_indikatorer_och_datakallor|omsorgsinsatser_och_boende|ovrigt|personal_kompetens_och_resurser
batch_002,analysis/03_outputs/section_batches/section_batch_002.jsonl,10,CUR2008_S005,CUR2009_S004,2008|2009,lakemedel_och_patientsakerhet|metod_indikatorer_och_datakallor|omsorgsinsatser_och_boende|ovrigt
batch_003,analysis/03_outputs/section_batches/section_batch_003.jsonl,10,CUR2009_S005,CUR2011_S001,2009|2010|2011,brukarperspektiv_och_kvalitet|lakemedel_och_patientsakerhet|metod_indikatorer_och_datakallor|omsorgsinsatser_och_boende|ovrigt|personal_kompetens_och_resurser
batch_004,analysis/03_outputs/section_batches/section_batch_004.jsonl,10,CUR2011_S002,CUR2014_S002,2011|2012|2013|2014,brukarperspektiv_och_kvalitet|demografi_och_aktuell_utveckling|metod_indikatorer_och_datakallor|ovrigt|sammanhallen_vard_och_samverkan
batch_005,analysis/03_outputs/section_batches/section_batch_005.jsonl,10,CUR2014_S003,CUR2016_S004,2014|2015|2016,demografi_och_aktuell_utveckling|metod_indikatorer_och_datakallor|omsorgsinsatser_och_boende|ovrigt|personal_kompetens_och_resurser|sammanhallen_vard_och_samverkan
batch_006,analysis/03_outputs/section_batches/section_batch_006.jsonl,10,CUR2016_S005,CUR2018_S001,2016|2017|2018,demografi_och_aktuell_utveckling|jamlikhet_och_minoritetsperspektiv|ovrigt|personal_kompetens_och_resurser
batch_007,analysis/03_outputs/section_batches/section_batch_007.jsonl,10,CUR2018_S002,CUR2019_S006,2018|2019,demografi_och_aktuell_utveckling|jamlikhet_och_minoritetsperspektiv|ovrigt|personal_kompetens_och_resurser
batch_008,analysis/03_outputs/section_batches/section_batch_008.jsonl,10,CUR2020_S001,CUR2021_S004,2020|2021,demografi_och_aktuell_utveckling|jamlikhet_och_minoritetsperspektiv|ovrigt|personal_kompetens_och_resurser
batch_009,analysis/03_outputs/section_batches/section_batch_009.jsonl,10,CUR2022_S001,CUR2023_S006,2022|2023,demografi_och_aktuell_utveckling|jamlikhet_och_minoritetsperspektiv|munhalsa_och_tandvard|ovrigt|personal_kompetens_och_resurser
batch_010,analysis/03_outputs/section_batches/section_batch_010.jsonl,10,CUR2023_S007,CUR2025_S002,2023|2024|2025,jamlikhet_och_minoritetsperspektiv|kommunal_halso_och_sjukvard|munhalsa_och_tandvard|ovrigt|personal_kompetens_och_resurser
batch_011,analysis/03_outputs/section_batches/section_batch_011.jsonl,10,CUR2025_S003,CUR2025_S012,2025,metod_indikatorer_och_datakallor|munhalsa_och_tandvard|ovrigt|personal_kompetens_och_resurser|psykisk_halsa_ensamhet_alkohol
batch_012,analysis/03_outputs/section_batches/section_batch_012.jsonl,4,CUR2025_S013,CUR2025_S016,2025,digitalisering_och_valfardsteknik|ovrigt
