period,keyword_group,total_hits,sections_with_hits,sections_total,years,term_hits_json
2007-2010,anhoriga,201,22,29,2007|2008|2009|2010,"{""anhörig"": 21, ""familj"": 2, ""närstående"": 178}"
2007-2010,delaktighet,63,10,29,2007|2008|2009|2010,"{""delaktighet"": 5, ""inflytande"": 51, ""självbestämmande"": 7}"
2007-2010,digitalisering,1,1,29,2007|2008|2009|2010,"{""teknik"": 1}"
2007-2010,jamlikhet,24,10,29,2007|2008|2009|2010,"{""tillgång"": 23, ""utsatt"": 1}"
2007-2010,kontinuitet_samordning,97,15,29,2007|2008|2009|2010,"{""kontinuitet"": 94, ""samordning"": 1, ""vårdkedja"": 2}"
2007-2010,personal_kompetens,983,24,29,2007|2008|2009|2010,"{""kompetens"": 53, ""personal"": 688, ""sjuksköterska"": 7, ""utbildning"": 235}"
2007-2010,prevention_rehabilitering,172,20,29,2007|2008|2009|2010,"{""funktionsförmåga"": 56, ""förebyggande"": 79, ""prevention"": 2, ""rehabilitering"": 35}"
2007-2010,trygghet_sakerhet,602,24,29,2007|2008|2009|2010,"{""avvikelse"": 143, ""risk"": 430, ""säkerhet"": 8, ""trygghet"": 21}"
2011-2014,anhoriga,147,8,14,2011|2012|2013|2014,"{""anhörig"": 27, ""närstående"": 120}"
2011-2014,delaktighet,258,10,14,2011|2012|2013|2014,"{""delaktighet"": 149, ""individanpassad"": 13, ""inflytande"": 89, ""personcentrerad"": 2, ""självbestämmande"": 5}"
2011-2014,digitalisering,6,3,14,2011|2012|2013|2014,"{""digital"": 1, ""e-hälsa"": 5}"
2011-2014,jamlikhet,55,9,14,2011|2012|2013|2014,"{""jämlik"": 3, ""tillgång"": 48, ""utsatt"": 4}"
2011-2014,kontinuitet_samordning,193,13,14,2011|2012|2013|2014,"{""kontinuitet"": 91, ""sammanhållen"": 95, ""samordning"": 4, ""vårdkedja"": 3}"
2011-2014,personal_kompetens,857,12,14,2011|2012|2013|2014,"{""kompetens"": 12, ""personal"": 734, ""sjuksköterska"": 35, ""undersköterska"": 1, ""utbildning"": 75}"
2011-2014,prevention_rehabilitering,276,13,14,2011|2012|2013|2014,"{""funktionsförmåga"": 41, ""förebyggande"": 80, ""prevention"": 2, ""rehabilitering"": 153}"
2011-2014,trygghet_sakerhet,932,12,14,2011|2012|2013|2014,"{""avvikelse"": 63, ""patientsäkerhet"": 1, ""risk"": 576, ""säkerhet"": 7, ""trygghet"": 285}"
2015-2018,anhoriga,85,15,21,2015|2016|2017|2018,"{""anhörig"": 44, ""familj"": 12, ""närstående"": 29}"
2015-2018,delaktighet,75,14,21,2015|2016|2017|2018,"{""delaktighet"": 25, ""individanpassad"": 16, ""inflytande"": 23, ""personcentrerad"": 5, ""självbestämmande"": 6}"
2015-2018,digitalisering,146,11,21,2015|2016|2017|2018,"{""digital"": 36, ""digitalisering"": 5, ""e-hälsa"": 14, ""teknik"": 50, ""välfärdsteknik"": 41}"
2015-2018,jamlikhet,134,17,21,2015|2016|2017|2018,"{""jämlik"": 33, ""minoritet"": 54, ""ojämlik"": 1, ""tillgång"": 37, ""utsatt"": 9}"
2015-2018,kontinuitet_samordning,134,14,21,2015|2016|2017|2018,"{""kontinuitet"": 47, ""sammanhållen"": 67, ""samordning"": 19, ""vårdkedja"": 1}"
2015-2018,personal_kompetens,574,21,21,2015|2016|2017|2018,"{""bemanning"": 25, ""kompetens"": 61, ""personal"": 341, ""sjuksköterska"": 12, ""undersköterska"": 2, ""utbildning"": 133}"
2015-2018,prevention_rehabilitering,126,15,21,2015|2016|2017|2018,"{""funktionsförmåga"": 25, ""förebyggande"": 61, ""prevention"": 5, ""rehabilitering"": 35}"
2015-2018,trygghet_sakerhet,447,21,21,2015|2016|2017|2018,"{""avvikelse"": 12, ""patientsäkerhet"": 19, ""risk"": 260, ""säkerhet"": 37, ""trygghet"": 119}"
2019-2022,anhoriga,285,18,20,2019|2020|2021|2022,"{""anhörig"": 128, ""familj"": 16, ""närstående"": 141}"
2019-2022,delaktighet,49,12,20,2019|2020|2021|2022,"{""delaktighet"": 31, ""individanpassad"": 4, ""inflytande"": 1, ""personcentrerad"": 12, ""självbestämmande"": 1}"
2019-2022,digitalisering,566,16,20,2019|2020|2021|2022,"{""digital"": 187, ""digitalisering"": 22, ""e-hälsa"": 41, ""teknik"": 212, ""välfärdsteknik"": 104}"
2019-2022,jamlikhet,207,17,20,2019|2020|2021|2022,"{""jämlik"": 56, ""minoritet"": 30, ""ojämlik"": 18, ""tillgång"": 76, ""utsatt"": 27}"
2019-2022,kontinuitet_samordning,126,17,20,2019|2020|2021|2022,"{""kontinuitet"": 75, ""sammanhållen"": 6, ""samordning"": 44, ""vårdkedja"": 1}"
2019-2022,personal_kompetens,796,18,20,2019|2020|2021|2022,"{""bemanning"": 33, ""kompetens"": 154, ""personal"": 373, ""sjuksköterska"": 9, ""undersköterska"": 9, ""utbildning"": 218}"
2019-2022,prevention_rehabilitering,161,16,20,2019|2020|2021|2022,"{""funktionsförmåga"": 12, ""förebyggande"": 86, ""prevention"": 29, ""rehabilitering"": 34}"
2019-2022,trygghet_sakerhet,993,20,20,2019|2020|2021|2022,"{""avvikelse"": 1, ""patientsäkerhet"": 134, ""risk"": 590, ""säkerhet"": 165, ""trygghet"": 103}"
2023-2025,anhoriga,124,22,30,2023|2024|2025,"{""anhörig"": 54, ""familj"": 8, ""närstående"": 62}"
2023-2025,delaktighet,28,12,30,2023|2024|2025,"{""delaktighet"": 15, ""individanpassad"": 7, ""inflytande"": 1, ""personcentrerad"": 3, ""självbestämmande"": 2}"
2023-2025,digitalisering,569,16,30,2023|2024|2025,"{""digital"": 257, ""digitalisering"": 24, ""e-hälsa"": 25, ""teknik"": 174, ""välfärdsteknik"": 89}"
2023-2025,jamlikhet,229,22,30,2023|2024|2025,"{""jämlik"": 31, ""minoritet"": 67, ""ojämlik"": 9, ""tillgång"": 105, ""utsatt"": 17}"
2023-2025,kontinuitet_samordning,99,16,30,2023|2024|2025,"{""fast omsorgskontakt"": 18, ""kontinuitet"": 61, ""sammanhållen"": 5, ""samordning"": 15}"
2023-2025,personal_kompetens,765,25,30,2023|2024|2025,"{""bemanning"": 14, ""kompetens"": 110, ""personal"": 427, ""sjuksköterska"": 21, ""undersköterska"": 12, ""utbildning"": 181}"
2023-2025,prevention_rehabilitering,117,18,30,2023|2024|2025,"{""funktionsförmåga"": 7, ""förebyggande"": 64, ""prevention"": 20, ""rehabilitering"": 26}"
2023-2025,trygghet_sakerhet,507,28,30,2023|2024|2025,"{""avvikelse"": 3, ""patientsäkerhet"": 79, ""risk"": 231, ""säkerhet"": 90, ""trygghet"": 104}"
