year,keyword_group,total_hits,sections_with_hits,sections_total,term_hits_json
2007,anhoriga,7,4,6,"{""anhörig"": 6, ""närstående"": 1}"
2007,delaktighet,6,1,6,"{""delaktighet"": 1, ""inflytande"": 2, ""självbestämmande"": 3}"
2007,digitalisering,1,1,6,"{""teknik"": 1}"
2007,jamlikhet,9,5,6,"{""tillgång"": 9}"
2007,kontinuitet_samordning,3,2,6,"{""kontinuitet"": 2, ""samordning"": 1}"
2007,personal_kompetens,170,3,6,"{""personal"": 112, ""utbildning"": 58}"
2007,prevention_rehabilitering,5,1,6,"{""förebyggande"": 5}"
2007,trygghet_sakerhet,54,2,6,"{""avvikelse"": 36, ""risk"": 6, ""säkerhet"": 4, ""trygghet"": 8}"
2008,anhoriga,74,9,10,"{""anhörig"": 8, ""familj"": 1, ""närstående"": 65}"
2008,delaktighet,5,2,10,"{""inflytande"": 2, ""självbestämmande"": 3}"
2008,digitalisering,0,0,10,{}
2008,jamlikhet,3,3,10,"{""tillgång"": 3}"
2008,kontinuitet_samordning,30,6,10,"{""kontinuitet"": 30}"
2008,personal_kompetens,257,9,10,"{""kompetens"": 25, ""personal"": 153, ""sjuksköterska"": 3, ""utbildning"": 76}"
2008,prevention_rehabilitering,62,9,10,"{""funktionsförmåga"": 27, ""förebyggande"": 30, ""prevention"": 2, ""rehabilitering"": 3}"
2008,trygghet_sakerhet,112,9,10,"{""avvikelse"": 47, ""risk"": 57, ""säkerhet"": 2, ""trygghet"": 6}"
2009,anhoriga,59,5,6,"{""anhörig"": 3, ""familj"": 1, ""närstående"": 55}"
2009,delaktighet,7,3,6,"{""delaktighet"": 3, ""inflytande"": 3, ""självbestämmande"": 1}"
2009,digitalisering,0,0,6,{}
2009,jamlikhet,5,1,6,"{""tillgång"": 4, ""utsatt"": 1}"
2009,kontinuitet_samordning,28,3,6,"{""kontinuitet"": 27, ""vårdkedja"": 1}"
2009,personal_kompetens,248,5,6,"{""personal"": 178, ""sjuksköterska"": 1, ""utbildning"": 69}"
2009,prevention_rehabilitering,24,6,6,"{""funktionsförmåga"": 5, ""förebyggande"": 14, ""rehabilitering"": 5}"
2009,trygghet_sakerhet,101,6,6,"{""avvikelse"": 31, ""risk"": 66, ""trygghet"": 4}"
2010,anhoriga,61,4,7,"{""anhörig"": 4, ""närstående"": 57}"
2010,delaktighet,45,4,7,"{""delaktighet"": 1, ""inflytande"": 44}"
2010,digitalisering,0,0,7,{}
2010,jamlikhet,7,1,7,"{""tillgång"": 7}"
2010,kontinuitet_samordning,36,4,7,"{""kontinuitet"": 35, ""vårdkedja"": 1}"
2010,personal_kompetens,308,7,7,"{""kompetens"": 28, ""personal"": 245, ""sjuksköterska"": 3, ""utbildning"": 32}"
2010,prevention_rehabilitering,81,4,7,"{""funktionsförmåga"": 24, ""förebyggande"": 30, ""rehabilitering"": 27}"
2010,trygghet_sakerhet,335,7,7,"{""avvikelse"": 29, ""risk"": 301, ""säkerhet"": 2, ""trygghet"": 3}"
2011,anhoriga,83,1,2,"{""anhörig"": 2, ""närstående"": 81}"
2011,delaktighet,106,2,2,"{""delaktighet"": 74, ""individanpassad"": 1, ""inflytande"": 30, ""självbestämmande"": 1}"
2011,digitalisering,0,0,2,{}
2011,jamlikhet,6,2,2,"{""tillgång"": 5, ""utsatt"": 1}"
2011,kontinuitet_samordning,27,2,2,"{""kontinuitet"": 27}"
2011,personal_kompetens,305,2,2,"{""kompetens"": 1, ""personal"": 248, ""sjuksköterska"": 1, ""utbildning"": 55}"
2011,prevention_rehabilitering,77,2,2,"{""funktionsförmåga"": 3, ""förebyggande"": 14, ""rehabilitering"": 60}"
2011,trygghet_sakerhet,360,2,2,"{""avvikelse"": 27, ""risk"": 242, ""säkerhet"": 1, ""trygghet"": 90}"
2012,anhoriga,17,1,2,"{""anhörig"": 4, ""närstående"": 13}"
2012,delaktighet,76,2,2,"{""delaktighet"": 39, ""individanpassad"": 3, ""inflytande"": 34}"
2012,digitalisering,1,1,2,"{""digital"": 1}"
2012,jamlikhet,20,2,2,"{""jämlik"": 1, ""tillgång"": 18, ""utsatt"": 1}"
2012,kontinuitet_samordning,47,2,2,"{""kontinuitet"": 35, ""sammanhållen"": 9, ""samordning"": 2, ""vårdkedja"": 1}"
2012,personal_kompetens,212,2,2,"{""kompetens"": 1, ""personal"": 192, ""sjuksköterska"": 18, ""utbildning"": 1}"
2012,prevention_rehabilitering,69,2,2,"{""funktionsförmåga"": 15, ""förebyggande"": 21, ""rehabilitering"": 33}"
2012,trygghet_sakerhet,197,2,2,"{""avvikelse"": 13, ""patientsäkerhet"": 1, ""risk"": 120, ""säkerhet"": 3, ""trygghet"": 60}"
2013,anhoriga,26,2,5,"{""anhörig"": 15, ""närstående"": 11}"
2013,delaktighet,41,3,5,"{""delaktighet"": 21, ""individanpassad"": 3, ""inflytande"": 15, ""självbestämmande"": 2}"
2013,digitalisering,0,0,5,{}
2013,jamlikhet,10,2,5,"{""tillgång"": 9, ""utsatt"": 1}"
2013,kontinuitet_samordning,38,5,5,"{""kontinuitet"": 8, ""sammanhållen"": 27, ""samordning"": 1, ""vårdkedja"": 2}"
2013,personal_kompetens,155,3,5,"{""kompetens"": 4, ""personal"": 141, ""sjuksköterska"": 6, ""utbildning"": 4}"
2013,prevention_rehabilitering,69,4,5,"{""funktionsförmåga"": 10, ""förebyggande"": 21, ""prevention"": 1, ""rehabilitering"": 37}"
2013,trygghet_sakerhet,219,3,5,"{""avvikelse"": 13, ""risk"": 132, ""säkerhet"": 1, ""trygghet"": 73}"
2014,anhoriga,21,4,5,"{""anhörig"": 6, ""närstående"": 15}"
2014,delaktighet,35,3,5,"{""delaktighet"": 15, ""individanpassad"": 6, ""inflytande"": 10, ""personcentrerad"": 2, ""självbestämmande"": 2}"
2014,digitalisering,5,2,5,"{""e-hälsa"": 5}"
2014,jamlikhet,19,3,5,"{""jämlik"": 2, ""tillgång"": 16, ""utsatt"": 1}"
2014,kontinuitet_samordning,81,4,5,"{""kontinuitet"": 21, ""sammanhållen"": 59, ""samordning"": 1}"
2014,personal_kompetens,185,5,5,"{""kompetens"": 6, ""personal"": 153, ""sjuksköterska"": 10, ""undersköterska"": 1, ""utbildning"": 15}"
2014,prevention_rehabilitering,61,5,5,"{""funktionsförmåga"": 13, ""förebyggande"": 24, ""prevention"": 1, ""rehabilitering"": 23}"
2014,trygghet_sakerhet,156,5,5,"{""avvikelse"": 10, ""risk"": 82, ""säkerhet"": 2, ""trygghet"": 62}"
2015,anhoriga,13,1,3,"{""anhörig"": 4, ""familj"": 2, ""närstående"": 7}"
2015,delaktighet,34,2,3,"{""delaktighet"": 5, ""individanpassad"": 4, ""inflytande"": 23, ""självbestämmande"": 2}"
2015,digitalisering,23,2,3,"{""digital"": 11, ""digitalisering"": 1, ""e-hälsa"": 2, ""teknik"": 5, ""välfärdsteknik"": 4}"
2015,jamlikhet,22,2,3,"{""jämlik"": 5, ""ojämlik"": 1, ""tillgång"": 16}"
2015,kontinuitet_samordning,92,3,3,"{""kontinuitet"": 27, ""sammanhållen"": 64, ""samordning"": 1}"
2015,personal_kompetens,165,3,3,"{""kompetens"": 5, ""personal"": 138, ""sjuksköterska"": 11, ""undersköterska"": 2, ""utbildning"": 9}"
2015,prevention_rehabilitering,79,3,3,"{""funktionsförmåga"": 18, ""förebyggande"": 40, ""rehabilitering"": 21}"
2015,trygghet_sakerhet,158,3,3,"{""avvikelse"": 11, ""risk"": 96, ""säkerhet"": 2, ""trygghet"": 49}"
2016,anhoriga,11,6,7,"{""anhörig"": 6, ""familj"": 2, ""närstående"": 3}"
2016,delaktighet,15,5,7,"{""delaktighet"": 2, ""individanpassad"": 10, ""personcentrerad"": 2, ""självbestämmande"": 1}"
2016,digitalisering,21,3,7,"{""digital"": 7, ""teknik"": 7, ""välfärdsteknik"": 7}"
2016,jamlikhet,30,6,7,"{""jämlik"": 8, ""minoritet"": 18, ""tillgång"": 2, ""utsatt"": 2}"
2016,kontinuitet_samordning,8,4,7,"{""kontinuitet"": 6, ""samordning"": 1, ""vårdkedja"": 1}"
2016,personal_kompetens,114,7,7,"{""bemanning"": 6, ""kompetens"": 23, ""personal"": 40, ""utbildning"": 45}"
2016,prevention_rehabilitering,12,3,7,"{""funktionsförmåga"": 2, ""förebyggande"": 2, ""rehabilitering"": 8}"
2016,trygghet_sakerhet,65,7,7,"{""avvikelse"": 1, ""patientsäkerhet"": 4, ""risk"": 30, ""säkerhet"": 8, ""trygghet"": 22}"
2017,anhoriga,28,4,6,"{""anhörig"": 22, ""familj"": 2, ""närstående"": 4}"
2017,delaktighet,8,4,6,"{""delaktighet"": 4, ""individanpassad"": 1, ""personcentrerad"": 3}"
2017,digitalisering,43,3,6,"{""digital"": 4, ""e-hälsa"": 4, ""teknik"": 20, ""välfärdsteknik"": 15}"
2017,jamlikhet,24,4,6,"{""jämlik"": 5, ""minoritet"": 10, ""tillgång"": 7, ""utsatt"": 2}"
2017,kontinuitet_samordning,21,4,6,"{""kontinuitet"": 4, ""sammanhållen"": 3, ""samordning"": 14}"
2017,personal_kompetens,145,6,6,"{""bemanning"": 12, ""kompetens"": 20, ""personal"": 77, ""utbildning"": 36}"
2017,prevention_rehabilitering,13,6,6,"{""funktionsförmåga"": 5, ""förebyggande"": 7, ""rehabilitering"": 1}"
2017,trygghet_sakerhet,99,6,6,"{""patientsäkerhet"": 4, ""risk"": 64, ""säkerhet"": 12, ""trygghet"": 19}"
