chunk_id,section_id,report_id,year,chunk_index,heading,theme,start_pdf_page,end_pdf_page,word_count
R2007_S001_C001,R2007_S001,R2007,2007,1,fördubbling av andelen kommer Sverige att ha en lägre andel 80 år och äldre än ge­ nomsnittet för samtliga EU-länder år 2050 1. Se figur 1. FIgUr,ovrigt,3,3,6
R2007_S002_C001,R2007_S002,R2007,2007,1,ver att deras hälsa är dålig eller mycket dålig. FIgUr,ovrigt,4,4,68
R2007_S003_C001,R2007_S003,R2007,2007,1,Äldreomsorg,ovrigt,5,5,253
R2007_S004_C001,R2007_S004,R2007,2007,1,God vård,ovrigt,6,6,154
R2007_S005_C001,R2007_S005,R2007,2007,1,Sammanfattning,jamlikhet_och_minoritetsperspektiv,7,10,858
R2007_S005_C002,R2007_S005,R2007,2007,2,Sammanfattning,jamlikhet_och_minoritetsperspektiv,7,10,107
R2007_S006_C001,R2007_S006,R2007,2007,1,3 Metod 1,metod_indikatorer_och_datakallor,11,11,17
R2007_S007_C001,R2007_S007,R2007,2007,1,1.1 Öppna jämförelser – bakgrund,metod_indikatorer_och_datakallor,12,12,368
R2007_S008_C001,R2007_S008,R2007,2007,1,1.3 Syfte och avgränsning,ovrigt,13,15,554
R2007_S009_C001,R2007_S009,R2007,2007,1,2.1 Demografi i korthet,demografi_och_aktuell_utveckling,16,16,182
R2007_S010_C001,R2007_S010,R2007,2007,1,2.3 Äldreomsorg,ovrigt,17,19,661
R2007_S011_C001,R2007_S011,R2007,2007,1,2.4 Svensk äldreomsorg kostar,ovrigt,20,21,119
R2007_S012_C001,R2007_S012,R2007,2007,1,3.1 Indikatorer,metod_indikatorer_och_datakallor,22,22,338
R2007_S013_C001,R2007_S013,R2007,2007,1,3.2 Jämförelsemodellen,ovrigt,23,23,288
R2007_S014_C001,R2007_S014,R2007,2007,1,3.3 Presentationsmodell,ovrigt,24,24,335
R2007_S015_C001,R2007_S015,R2007,2007,1,4 Jämförelser mellan kommunerna,ovrigt,25,25,19
R2007_S016_C001,R2007_S016,R2007,2007,1,4.1 Resultatindikatorer – God vård,metod_indikatorer_och_datakallor,26,26,405
