curated_chunk_id,curated_section_id,year,chunk_index,title,theme,source_type,original_start_pdf_page,original_end_pdf_page,word_count
CUR2007_S001_C001,CUR2007_S001,2007,1,Kostnader,personal_kompetens_och_resurser,legacy_title_located_in_original_report,7,11,858
CUR2007_S001_C002,CUR2007_S001,2007,2,Kostnader,personal_kompetens_och_resurser,legacy_title_located_in_original_report,7,11,124
CUR2007_S002_C001,CUR2007_S002,2007,1,God vård,ovrigt,legacy_title_located_in_original_report,12,12,368
CUR2007_S003_C001,CUR2007_S003,2007,1,Social omsorg och service,ovrigt,legacy_title_located_in_original_report,12,12,368
CUR2007_S004_C001,CUR2007_S004,2007,1,Svensk äldreomsrog och metod,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,13,21,846
CUR2007_S004_C002,CUR2007_S004,2007,2,Svensk äldreomsrog och metod,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,13,21,769
CUR2007_S005_C001,CUR2007_S005,2007,1,Personal,personal_kompetens_och_resurser,legacy_title_located_in_original_report,22,22,338
CUR2007_S006_C001,CUR2007_S006,2007,1,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,852
CUR2007_S006_C002,CUR2007_S006,2007,2,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,855
CUR2007_S006_C003,CUR2007_S006,2007,3,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,852
CUR2007_S006_C004,CUR2007_S006,2007,4,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,852
CUR2007_S006_C005,CUR2007_S006,2007,5,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,856
CUR2007_S006_C006,CUR2007_S006,2007,6,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,850
CUR2007_S006_C007,CUR2007_S006,2007,7,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,869
CUR2007_S006_C008,CUR2007_S006,2007,8,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,860
CUR2007_S006_C009,CUR2007_S006,2007,9,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,881
CUR2007_S006_C010,CUR2007_S006,2007,10,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,864
CUR2007_S006_C011,CUR2007_S006,2007,11,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,859
CUR2007_S006_C012,CUR2007_S006,2007,12,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,850
CUR2007_S006_C013,CUR2007_S006,2007,13,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,842
CUR2007_S006_C014,CUR2007_S006,2007,14,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,859
CUR2007_S006_C015,CUR2007_S006,2007,15,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,859
CUR2007_S006_C016,CUR2007_S006,2007,16,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,858
CUR2007_S006_C017,CUR2007_S006,2007,17,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,852
CUR2007_S006_C018,CUR2007_S006,2007,18,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,854
CUR2007_S006_C019,CUR2007_S006,2007,19,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,846
CUR2007_S006_C020,CUR2007_S006,2007,20,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,856
CUR2007_S006_C021,CUR2007_S006,2007,21,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,848
CUR2007_S006_C022,CUR2007_S006,2007,22,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,878
CUR2007_S006_C023,CUR2007_S006,2007,23,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,993
CUR2007_S006_C024,CUR2007_S006,2007,24,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,983
CUR2007_S006_C025,CUR2007_S006,2007,25,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,1026
CUR2007_S006_C026,CUR2007_S006,2007,26,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,950
CUR2007_S006_C027,CUR2007_S006,2007,27,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,991
