curated_section_id,year,section_index,title,theme,source_type,semantic_source_file,original_report_file,original_start_pdf_page,original_end_pdf_page,locate_method,word_count,text_path
CUR2007_S001,2007,1,Kostnader,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2007-Kostnader.pdf,source/2007.pdf,7,11,exact_near_page_start,881,data/corpus_2026/texts/curated_sections/2007/CUR2007_S001_kostnader.txt
CUR2007_S002,2007,2,God vård,ovrigt,legacy_title_located_in_original_report,source/Data_split/2007-God vård.pdf,source/2007.pdf,12,12,exact_near_page_start,368,data/corpus_2026/texts/curated_sections/2007/CUR2007_S002_god-vard.txt
CUR2007_S003,2007,3,Social omsorg och service,ovrigt,legacy_title_located_in_original_report,source/Data_split/2007-Social omsorg och service.pdf,source/2007.pdf,12,12,exact_near_page_start,368,data/corpus_2026/texts/curated_sections/2007/CUR2007_S003_social-omsorg-och-service.txt
CUR2007_S004,2007,4,Svensk äldreomsrog och metod,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2007-Svensk äldreomsrog och metod.pdf,source/2007.pdf,13,21,token_overlap_2_of_3,1516,data/corpus_2026/texts/curated_sections/2007/CUR2007_S004_svensk-aldreomsrog-och-metod.txt
CUR2007_S005,2007,5,Personal,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2007-Personal.pdf,source/2007.pdf,22,22,exact_near_page_start,338,data/corpus_2026/texts/curated_sections/2007/CUR2007_S005_personal.txt
CUR2007_S006,2007,6,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,source/Data_split/2007-Äldreomsorgens innehåll.pdf,source/2007.pdf,23,156,exact_near_page_start,39025,data/corpus_2026/texts/curated_sections/2007/CUR2007_S006_aldreomsorgens-innehall.txt
CUR2008_S001,2008,1,Insatser i ordinärt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,source/Data_split/2008-Insatser i ordinärt boende.pdf,source/2008.pdf,7,7,exact_near_page_start,165,data/corpus_2026/texts/curated_sections/2008/CUR2008_S001_insatser-i-ordinart-boende.txt
CUR2008_S002,2008,2,Stöd till person som drabbats av stroke,ovrigt,legacy_title_located_in_original_report,source/Data_split/2008-Stöd till person som drabbats av stroke.pdf,source/2008.pdf,7,7,token_overlap_5_of_5,165,data/corpus_2026/texts/curated_sections/2008/CUR2008_S002_stod-till-person-som-drabbats-av-stroke.txt
CUR2008_S003,2008,3,Vård i livets slutskede,ovrigt,legacy_title_located_in_original_report,source/Data_split/2008-Vård i livets slutskede.pdf,source/2008.pdf,7,13,exact_near_page_start,2435,data/corpus_2026/texts/curated_sections/2008/CUR2008_S003_vard-i-livets-slutskede.txt
CUR2008_S004,2008,4,Svensk vård och omsorg om äldre och metod,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2008-Svensk vård och omsorg om äldre och metod.pdf,source/2008.pdf,14,14,token_overlap_5_of_5,355,data/corpus_2026/texts/curated_sections/2008/CUR2008_S004_svensk-vard-och-omsorg-om-aldre-och-metod.txt
CUR2008_S005,2008,5,Kommunens roll och ansvar för äldreomsorgen,ovrigt,legacy_title_located_in_original_report,source/Data_split/2008-Kommunens roll och ansvar för äldreomsorgen.pdf,source/2008.pdf,15,27,exact_near_page_start,2756,data/corpus_2026/texts/curated_sections/2008/CUR2008_S005_kommunens-roll-och-ansvar-for-aldreomsorgen.txt
CUR2008_S006,2008,6,Medicinskt stöd,ovrigt,legacy_title_located_in_original_report,source/Data_split/2008-Medicinskt stöd.pdf,source/2008.pdf,28,28,exact_near_page_start,549,data/corpus_2026/texts/curated_sections/2008/CUR2008_S006_medicinskt-stod.txt
CUR2008_S007,2008,7,Läkemedelsförskrivningar,lakemedel_och_patientsakerhet,legacy_title_located_in_original_report,source/Data_split/2008-Läkemedelsförskrivningar.pdf,source/2008.pdf,29,29,exact_near_page_start,216,data/corpus_2026/texts/curated_sections/2008/CUR2008_S007_lakemedelsforskrivningar.txt
CUR2008_S008,2008,8,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2008-Resultatindikatorer.pdf,source/2008.pdf,29,29,exact_near_page_start,216,data/corpus_2026/texts/curated_sections/2008/CUR2008_S008_resultatindikatorer.txt
CUR2008_S009,2008,9,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,source/Data_split/2008-Resultatindikatorer-social omsorg och service i särskilt boende.pdf,source/2008.pdf,29,47,token_overlap_6_of_6,4385,data/corpus_2026/texts/curated_sections/2008/CUR2008_S009_resultatindikatorer-social-omsorg-och-service-i-sarskilt-boende.txt
CUR2008_S010,2008,10,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,source/Data_split/2008-Förebyggande arbete.pdf,source/2008.pdf,48,156,exact_near_page_start,62066,data/corpus_2026/texts/curated_sections/2008/CUR2008_S010_forebyggande-arbete.txt
CUR2009_S001,2009,1,Att möta effektivitet och produktivitet,ovrigt,legacy_title_located_in_original_report,source/Data_split/2009-Att möta effektivitet och produktivitet.pdf,source/2009.pdf,7,7,token_overlap_2_of_3,220,data/corpus_2026/texts/curated_sections/2009/CUR2009_S001_att-mota-effektivitet-och-produktivitet.txt
CUR2009_S002,2009,2,Resursindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2009-Resursindikatorer.pdf,source/2009.pdf,7,14,exact_near_page_start,2469,data/corpus_2026/texts/curated_sections/2009/CUR2009_S002_resursindikatorer.txt
CUR2009_S003,2009,3,Kommunens roll och ansvar för äldreomsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2009-Kommunens roll och ansvar för äldreomsorg.pdf,source/2009.pdf,15,17,exact_near_page_start,597,data/corpus_2026/texts/curated_sections/2009/CUR2009_S003_kommunens-roll-och-ansvar-for-aldreomsorg.txt
CUR2009_S004,2009,4,Svensk vård och omsorg om äldre i ett europeiskt perspektiv,ovrigt,legacy_title_located_in_original_report,source/Data_split/2009-Svensk vård och omsorg om äldre i ett europeiskt perspektiv.pdf,source/2009.pdf,18,22,exact_near_page_start,1163,data/corpus_2026/texts/curated_sections/2009/CUR2009_S004_svensk-vard-och-omsorg-om-aldre-i-ett-europeiskt-perspektiv.txt
