theme,curated_sections,words
brukarperspektiv_och_kvalitet,2,861
demografi_och_aktuell_utveckling,9,41892
digitalisering_och_valfardsteknik,1,2819
jamlikhet_och_minoritetsperspektiv,9,29468
kommunal_halso_och_sjukvard,1,152
lakemedel_och_patientsakerhet,3,648
metod_indikatorer_och_datakallor,15,313757
munhalsa_och_tandvard,3,11314
omsorgsinsatser_och_boende,5,135979
ovrigt,50,387938
personal_kompetens_och_resurser,12,81056
psykisk_halsa_ensamhet_alkohol,1,1954
sammanhallen_vard_och_samverkan,3,29858
