report_id,year,heading_index,heading,source,printed_page,estimated_pdf_page,toc_pdf_page,theme
R2007,2007,1,fördubbling av andelen kommer Sverige att ha en lägre andel 80 år och äldre än ge­ nomsnittet för samtliga EU-länder år 2050 1. Se figur 1. FIgUr,toc,1,3,16,ovrigt
R2007,2007,2,• Resursindikatorer – Äldreomsorgens innehåll 1 1 öppNA jämFöreLSer – äLdreOmSOrg 1,toc,2,4,14,omsorgsinsatser_och_boende
R2007,2007,3,ver att deras hälsa är dålig eller mycket dålig. FIgUr,toc,2,4,17,ovrigt
R2007,2007,4,2 Svensk äldreomsorg i ett internationellt perspektiv 1,toc,3,5,6,ovrigt
R2007,2007,5,Äldreomsorg,xlsx_heading_search,,5,,ovrigt
R2007,2007,6,målet för samarbetet kring hälso- och sjukvård och äldreomsorg inom den Europe­ iska unionen.,toc,3,5,18,kommunal_halso_och_sjukvard
R2007,2007,7,Se vidare figur 3 och 4. FIgUr,toc,3,5,18,ovrigt
R2007,2007,8,Äldreomsorgens innehåll,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2007,2007,9,Äldres hälsa,xlsx_heading_search,,6,,ovrigt
R2007,2007,10,Demografi,xlsx_heading_search,,6,,demografi_och_aktuell_utveckling
R2007,2007,11,God vård,xlsx_heading_search,,6,,ovrigt
R2007,2007,12,Kostnader,xlsx_heading_search,,6,,personal_kompetens_och_resurser
R2007,2007,13,Personal,xlsx_heading_search,,6,,personal_kompetens_och_resurser
R2007,2007,14,Social omsorg och service,xlsx_heading_search,,6,,ovrigt
R2007,2007,15,Svensk äldreomsorg i ett internationellt perspektiv,xlsx_heading_search,,6,,ovrigt
R2007,2007,16,Svensk äldreomsorg kostar,xlsx_heading_search,,6,,ovrigt
R2007,2007,17,Sammanfattning,toc,5,7,6,jamlikhet_och_minoritetsperspektiv
R2007,2007,18,1 Inledning,toc,9,11,6,ovrigt
R2007,2007,19,3 Metod 1,toc,9,11,6,metod_indikatorer_och_datakallor
R2007,2007,20,1.1 Öppna jämförelser – bakgrund,toc,10,12,6,metod_indikatorer_och_datakallor
R2007,2007,21,1.2 Nationellt system för öppna jämförelser av kommunernas vård och omsorg om äldre samt landstingens hemsjukvård,toc,10,12,6,kommunal_halso_och_sjukvard
R2007,2007,22,1.3 Syfte och avgränsning,toc,11,13,6,ovrigt
R2007,2007,23,1.4 Rapportens disposition,toc,11,13,6,ovrigt
R2007,2007,24,2.1 Demografi i korthet,toc,14,16,6,demografi_och_aktuell_utveckling
R2007,2007,25,2.2 Äldres hälsa,toc,15,17,6,ovrigt
R2007,2007,26,2.3 Äldreomsorg,toc,15,17,6,ovrigt
R2007,2007,27,2.4 Svensk äldreomsorg kostar,toc,18,20,6,ovrigt
R2007,2007,28,3.1 Indikatorer,toc,20,22,6,metod_indikatorer_och_datakallor
R2007,2007,29,Malta Tjeckien Polen Cypern Lettland Finland Grekland Storbritannien Frankrike Portugal Belgien Slovenien Spanien Österrike Italien Tyskland 0 5 10 15,toc,20,22,16,ovrigt
R2007,2007,30,3.2 Jämförelsemodellen,toc,21,23,6,ovrigt
R2007,2007,31,3.3 Presentationsmodell,toc,22,24,6,ovrigt
R2007,2007,32,4 Jämförelser mellan kommunerna,toc,23,25,6,ovrigt
R2007,2007,33,4.1 Resultatindikatorer – God vård,toc,24,26,6,metod_indikatorer_och_datakallor
R2007,2007,34,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,toc,25,27,18,ovrigt
