report_id,year,source_file,pdf_page,word_count
R2007,2007,D:\Data\2007.pdf,1,8
R2007,2007,D:\Data\2007.pdf,2,0
R2007,2007,D:\Data\2007.pdf,3,4
R2007,2007,D:\Data\2007.pdf,4,66
R2007,2007,D:\Data\2007.pdf,5,251
R2007,2007,D:\Data\2007.pdf,6,152
R2007,2007,D:\Data\2007.pdf,7,314
R2007,2007,D:\Data\2007.pdf,8,397
R2007,2007,D:\Data\2007.pdf,9,142
R2007,2007,D:\Data\2007.pdf,10,3
R2007,2007,D:\Data\2007.pdf,11,15
R2007,2007,D:\Data\2007.pdf,12,366
R2007,2007,D:\Data\2007.pdf,13,364
R2007,2007,D:\Data\2007.pdf,14,163
R2007,2007,D:\Data\2007.pdf,15,21
R2007,2007,D:\Data\2007.pdf,16,180
R2007,2007,D:\Data\2007.pdf,17,250
R2007,2007,D:\Data\2007.pdf,18,279
R2007,2007,D:\Data\2007.pdf,19,126
R2007,2007,D:\Data\2007.pdf,20,99
R2007,2007,D:\Data\2007.pdf,21,16
R2007,2007,D:\Data\2007.pdf,22,336
R2007,2007,D:\Data\2007.pdf,23,286
R2007,2007,D:\Data\2007.pdf,24,333
R2007,2007,D:\Data\2007.pdf,25,17
R2007,2007,D:\Data\2007.pdf,26,403
R2007,2007,D:\Data\2007.pdf,27,465
R2007,2007,D:\Data\2007.pdf,28,42
R2007,2007,D:\Data\2007.pdf,29,160
R2007,2007,D:\Data\2007.pdf,30,80
R2007,2007,D:\Data\2007.pdf,31,89
R2007,2007,D:\Data\2007.pdf,32,94
R2007,2007,D:\Data\2007.pdf,33,106
R2007,2007,D:\Data\2007.pdf,34,92
R2007,2007,D:\Data\2007.pdf,35,106
R2007,2007,D:\Data\2007.pdf,36,130
R2007,2007,D:\Data\2007.pdf,37,123
R2007,2007,D:\Data\2007.pdf,38,425
R2007,2007,D:\Data\2007.pdf,39,140
R2007,2007,D:\Data\2007.pdf,40,88
R2007,2007,D:\Data\2007.pdf,41,93
R2007,2007,D:\Data\2007.pdf,42,104
R2007,2007,D:\Data\2007.pdf,43,91
R2007,2007,D:\Data\2007.pdf,44,105
R2007,2007,D:\Data\2007.pdf,45,127
R2007,2007,D:\Data\2007.pdf,46,119
R2007,2007,D:\Data\2007.pdf,47,400
R2007,2007,D:\Data\2007.pdf,48,155
R2007,2007,D:\Data\2007.pdf,49,84
R2007,2007,D:\Data\2007.pdf,50,89
R2007,2007,D:\Data\2007.pdf,51,104
R2007,2007,D:\Data\2007.pdf,52,88
R2007,2007,D:\Data\2007.pdf,53,102
R2007,2007,D:\Data\2007.pdf,54,122
R2007,2007,D:\Data\2007.pdf,55,115
R2007,2007,D:\Data\2007.pdf,56,362
R2007,2007,D:\Data\2007.pdf,57,67
R2007,2007,D:\Data\2007.pdf,58,76
R2007,2007,D:\Data\2007.pdf,59,81
R2007,2007,D:\Data\2007.pdf,60,92
R2007,2007,D:\Data\2007.pdf,61,79
R2007,2007,D:\Data\2007.pdf,62,94
R2007,2007,D:\Data\2007.pdf,63,103
R2007,2007,D:\Data\2007.pdf,64,96
R2007,2007,D:\Data\2007.pdf,65,349
R2007,2007,D:\Data\2007.pdf,66,126
R2007,2007,D:\Data\2007.pdf,67,78
R2007,2007,D:\Data\2007.pdf,68,83
R2007,2007,D:\Data\2007.pdf,69,94
R2007,2007,D:\Data\2007.pdf,70,81
R2007,2007,D:\Data\2007.pdf,71,95
R2007,2007,D:\Data\2007.pdf,72,108
R2007,2007,D:\Data\2007.pdf,73,101
R2007,2007,D:\Data\2007.pdf,74,443
R2007,2007,D:\Data\2007.pdf,75,47
R2007,2007,D:\Data\2007.pdf,76,313
R2007,2007,D:\Data\2007.pdf,77,168
R2007,2007,D:\Data\2007.pdf,78,82
R2007,2007,D:\Data\2007.pdf,79,87
R2007,2007,D:\Data\2007.pdf,80,98
R2007,2007,D:\Data\2007.pdf,81,85
R2007,2007,D:\Data\2007.pdf,82,100
R2007,2007,D:\Data\2007.pdf,83,118
R2007,2007,D:\Data\2007.pdf,84,112
R2007,2007,D:\Data\2007.pdf,85,406
R2007,2007,D:\Data\2007.pdf,86,100
R2007,2007,D:\Data\2007.pdf,87,71
R2007,2007,D:\Data\2007.pdf,88,76
R2007,2007,D:\Data\2007.pdf,89,87
R2007,2007,D:\Data\2007.pdf,90,74
R2007,2007,D:\Data\2007.pdf,91,88
R2007,2007,D:\Data\2007.pdf,92,99
R2007,2007,D:\Data\2007.pdf,93,92
R2007,2007,D:\Data\2007.pdf,94,360
R2007,2007,D:\Data\2007.pdf,95,113
R2007,2007,D:\Data\2007.pdf,96,76
R2007,2007,D:\Data\2007.pdf,97,81
R2007,2007,D:\Data\2007.pdf,98,92
R2007,2007,D:\Data\2007.pdf,99,79
R2007,2007,D:\Data\2007.pdf,100,93
R2007,2007,D:\Data\2007.pdf,101,109
R2007,2007,D:\Data\2007.pdf,102,104
R2007,2007,D:\Data\2007.pdf,103,456
R2007,2007,D:\Data\2007.pdf,104,164
R2007,2007,D:\Data\2007.pdf,105,59
R2007,2007,D:\Data\2007.pdf,106,67
R2007,2007,D:\Data\2007.pdf,107,72
R2007,2007,D:\Data\2007.pdf,108,84
R2007,2007,D:\Data\2007.pdf,109,71
R2007,2007,D:\Data\2007.pdf,110,85
R2007,2007,D:\Data\2007.pdf,111,89
R2007,2007,D:\Data\2007.pdf,112,83
R2007,2007,D:\Data\2007.pdf,113,424
R2007,2007,D:\Data\2007.pdf,114,259
R2007,2007,D:\Data\2007.pdf,115,73
R2007,2007,D:\Data\2007.pdf,116,80
R2007,2007,D:\Data\2007.pdf,117,85
R2007,2007,D:\Data\2007.pdf,118,96
R2007,2007,D:\Data\2007.pdf,119,84
R2007,2007,D:\Data\2007.pdf,120,98
R2007,2007,D:\Data\2007.pdf,121,110
R2007,2007,D:\Data\2007.pdf,122,103
R2007,2007,D:\Data\2007.pdf,123,350
R2007,2007,D:\Data\2007.pdf,124,148
R2007,2007,D:\Data\2007.pdf,125,96
R2007,2007,D:\Data\2007.pdf,126,101
R2007,2007,D:\Data\2007.pdf,127,112
R2007,2007,D:\Data\2007.pdf,128,99
R2007,2007,D:\Data\2007.pdf,129,113
R2007,2007,D:\Data\2007.pdf,130,136
R2007,2007,D:\Data\2007.pdf,131,129
