section_id,report_id,year,section_index,heading,all_headings_same_start,heading_sources,theme,start_pdf_page,end_pdf_page,word_count,section_text_path
R2007_S001,R2007,2007,1,fördubbling av andelen kommer Sverige att ha en lägre andel 80 år och äldre än ge­ nomsnittet för samtliga EU-länder år 2050 1. Se figur 1. FIgUr,fördubbling av andelen kommer Sverige att ha en lägre andel 80 år och äldre än ge­ nomsnittet för samtliga EU-länder år 2050 1. Se figur 1. FIgUr,toc,ovrigt,3,3,6,data/corpus_2026/texts/sections/2007/R2007_S001_fordubbling-av-andelen-kommer-sverige-att-ha-en-la.txt
R2007_S002,R2007,2007,2,ver att deras hälsa är dålig eller mycket dålig. FIgUr,• Resursindikatorer – Äldreomsorgens innehåll 1 1 öppNA jämFöreLSer – äLdreOmSOrg 1 | ver att deras hälsa är dålig eller mycket dålig. FIgUr,toc,ovrigt,4,4,68,data/corpus_2026/texts/sections/2007/R2007_S002_ver-att-deras-halsa-ar-dalig-eller-mycket-dalig-fi.txt
R2007_S003,R2007,2007,3,Äldreomsorg,2 Svensk äldreomsorg i ett internationellt perspektiv 1 | Äldreomsorg | målet för samarbetet kring hälso- och sjukvård och äldreomsorg inom den Europe­ iska unionen. | Se vidare figur 3 och 4. FIgUr,toc | xlsx_heading_search,ovrigt,5,5,253,data/corpus_2026/texts/sections/2007/R2007_S003_aldreomsorg.txt
R2007_S004,R2007,2007,4,God vård,Äldreomsorgens innehåll | Äldres hälsa | Demografi | God vård | Kostnader | Personal | Social omsorg och service | Svensk äldreomsorg i ett internationellt perspektiv | Svensk äldreomsorg kostar,xlsx_heading_search,ovrigt,6,6,154,data/corpus_2026/texts/sections/2007/R2007_S004_god-vard.txt
R2007_S005,R2007,2007,5,Sammanfattning,Sammanfattning,toc,jamlikhet_och_minoritetsperspektiv,7,10,864,data/corpus_2026/texts/sections/2007/R2007_S005_sammanfattning.txt
R2007_S006,R2007,2007,6,3 Metod 1,1 Inledning | 3 Metod 1,toc,metod_indikatorer_och_datakallor,11,11,17,data/corpus_2026/texts/sections/2007/R2007_S006_3-metod-1.txt
R2007_S007,R2007,2007,7,1.1 Öppna jämförelser – bakgrund,1.1 Öppna jämförelser – bakgrund | 1.2 Nationellt system för öppna jämförelser av kommunernas vård och omsorg om äldre samt landstingens hemsjukvård,toc,metod_indikatorer_och_datakallor,12,12,368,data/corpus_2026/texts/sections/2007/R2007_S007_1-1-oppna-jamforelser-bakgrund.txt
R2007_S008,R2007,2007,8,1.3 Syfte och avgränsning,1.3 Syfte och avgränsning | 1.4 Rapportens disposition,toc,ovrigt,13,15,554,data/corpus_2026/texts/sections/2007/R2007_S008_1-3-syfte-och-avgransning.txt
R2007_S009,R2007,2007,9,2.1 Demografi i korthet,2.1 Demografi i korthet,toc,demografi_och_aktuell_utveckling,16,16,182,data/corpus_2026/texts/sections/2007/R2007_S009_2-1-demografi-i-korthet.txt
R2007_S010,R2007,2007,10,2.3 Äldreomsorg,2.2 Äldres hälsa | 2.3 Äldreomsorg,toc,ovrigt,17,19,661,data/corpus_2026/texts/sections/2007/R2007_S010_2-3-aldreomsorg.txt
R2007_S011,R2007,2007,11,2.4 Svensk äldreomsorg kostar,2.4 Svensk äldreomsorg kostar,toc,ovrigt,20,21,119,data/corpus_2026/texts/sections/2007/R2007_S011_2-4-svensk-aldreomsorg-kostar.txt
R2007_S012,R2007,2007,12,3.1 Indikatorer,3.1 Indikatorer | Malta Tjeckien Polen Cypern Lettland Finland Grekland Storbritannien Frankrike Portugal Belgien Slovenien Spanien Österrike Italien Tyskland 0 5 10 15,toc,metod_indikatorer_och_datakallor,22,22,338,data/corpus_2026/texts/sections/2007/R2007_S012_3-1-indikatorer.txt
R2007_S013,R2007,2007,13,3.2 Jämförelsemodellen,3.2 Jämförelsemodellen,toc,ovrigt,23,23,288,data/corpus_2026/texts/sections/2007/R2007_S013_3-2-jamforelsemodellen.txt
R2007_S014,R2007,2007,14,3.3 Presentationsmodell,3.3 Presentationsmodell,toc,ovrigt,24,24,335,data/corpus_2026/texts/sections/2007/R2007_S014_3-3-presentationsmodell.txt
R2007_S015,R2007,2007,15,4 Jämförelser mellan kommunerna,4 Jämförelser mellan kommunerna,toc,ovrigt,25,25,19,data/corpus_2026/texts/sections/2007/R2007_S015_4-jamforelser-mellan-kommunerna.txt
R2007_S016,R2007,2007,16,4.1 Resultatindikatorer – God vård,4.1 Resultatindikatorer – God vård,toc,metod_indikatorer_och_datakallor,26,26,405,data/corpus_2026/texts/sections/2007/R2007_S016_4-1-resultatindikatorer-god-vard.txt
R2007_S017,R2007,2007,17,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,toc,ovrigt,27,61,4865,data/corpus_2026/texts/sections/2007/R2007_S017_japan-schweiz-sverige-norge-osterrike-danmark-0-5.txt
R2007_S018,R2007,2007,18,Norge Cypern Storbritannien Finland Danmark Frankrike Spain Österrike Italien Tjekien Slovakien Grekland Estland Rumänien Bulgarien Slovenien Tyskland Ungern Lettland Litauen Polen Portugal 60 50 40 30 20 10 0 0 10 20 30 40 50,Norge Cypern Storbritannien Finland Danmark Frankrike Spain Österrike Italien Tjekien Slovakien Grekland Estland Rumänien Bulgarien Slovenien Tyskland Ungern Lettland Litauen Polen Portugal 60 50 40 30 20 10 0 0 10 20 30 40 50,toc,jamlikhet_och_minoritetsperspektiv,62,73,1432,data/corpus_2026/texts/sections/2007/R2007_S018_norge-cypern-storbritannien-finland-danmark-frankr.txt
R2007_S019,R2007,2007,19,4.2 Resultatindikatorer – Social omsorg och service,4.2 Resultatindikatorer – Social omsorg och service,toc,metod_indikatorer_och_datakallor,74,81,1339,data/corpus_2026/texts/sections/2007/R2007_S019_4-2-resultatindikatorer-social-omsorg-och-service.txt
R2007_S020,R2007,2007,20,"kommuner och kommuner med låga, medelhöga och höga standardkostnader. Skill­ naderna mellan bästa och sämsta värde på indikatorerna är påfallande stora. För fall­ skador varierar t.ex. frekvensen från bästa värde, 47 fallskador per 1 000 invånare","kommuner och kommuner med låga, medelhöga och höga standardkostnader. Skill­ naderna mellan bästa och sämsta värde på indikatorerna är påfallande stora. För fall­ skador varierar t.ex. frekvensen från bästa värde, 47 fallskador per 1 000 invånare",toc,lakemedel_och_patientsakerhet,82,84,336,data/corpus_2026/texts/sections/2007/R2007_S020_kommuner-och-kommuner-med-laga-medelhoga-och-hoga.txt
R2007_S021,R2007,2007,21,4.3 Resursindikatorer – Personal,4.3 Resursindikatorer – Personal,toc,personal_kompetens_och_resurser,85,101,2130,data/corpus_2026/texts/sections/2007/R2007_S021_4-3-resursindikatorer-personal.txt
R2007_S022,R2007,2007,22,19 17 6,19 17 6,toc,ovrigt,102,102,106,data/corpus_2026/texts/sections/2007/R2007_S022_19-17-6.txt
R2007_S023,R2007,2007,23,4.4 Resursindikatorer – Kostnader,4.4 Resursindikatorer – Kostnader,toc,personal_kompetens_och_resurser,103,122,2682,data/corpus_2026/texts/sections/2007/R2007_S023_4-4-resursindikatorer-kostnader.txt
R2007_S024,R2007,2007,24,4.5 Resursindikatorer – Äldreomsorgens innehåll,4.5 Resursindikatorer – Äldreomsorgens innehåll,toc,omsorgsinsatser_och_boende,123,134,1560,data/corpus_2026/texts/sections/2007/R2007_S024_4-5-resursindikatorer-aldreomsorgens-innehall.txt
R2007_S025,R2007,2007,25,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg","indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",toc,metod_indikatorer_och_datakallor,135,156,23528,data/corpus_2026/texts/sections/2007/R2007_S025_indikatorer-gora-analyser-och-sjalv-valja-kommuner.txt
R2008_S001,R2008,2008,1,9. andel avlidna på sjukhus 5,1 . Kommunens information om äldreomsorg 3 | 5. personalkontinuitet i hemtjänsten 4 | 9. andel avlidna på sjukhus 5 | nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen. KapItel,toc,ovrigt,3,3,10,data/corpus_2026/texts/sections/2008/R2008_S001_9-andel-avlidna-pa-sjukhus-5.txt
R2008_S002,R2008,2008,2,kommuner att jämföra sig med. KapItel,kommuner att jämföra sig med. KapItel,toc,ovrigt,4,4,2,data/corpus_2026/texts/sections/2008/R2008_S002_kommuner-att-jamfora-sig-med-kapitel.txt
R2008_S003,R2008,2008,3,2. kommunenS roll och anSvar fÖr älDreomSorgen 1,2. kommunenS roll och anSvar fÖr älDreomSorgen 1 | 29 kommuner planerade då att införa valfrihet i särskilda boenden och 58 i hem­ tjänsten. 1 . aktuellt på äldreområdet 2007 sveriges Kommuner och landsting. KapItel,toc,ovrigt,5,5,283,data/corpus_2026/texts/sections/2008/R2008_S003_2-kommunens-roll-och-ansvar-for-aldreomsorgen-1.txt
R2008_S004,R2008,2008,4,Kostnader,Äldreboendeindex | Äldreomsorgens kostnader | Äldres hälsa | Äldres levnadsstandard | Andel avlidna på sjukhus | Andel nöjda brukare med hemtjänsten | Andel nöjda i särskilt boende | Ansvarsfördelning av hälso- och sjukvård | Den demografiska utmaningen | Fallskador | Förebyggande verksamhet | Förskrivning av riskfyllda läkemedelskombinationer | Insatser i ordinärt boende | Kommunens information om äldreomsorg | Kostnader | Läkemedelsförskrivningar | Medicinskt stöd i äldreomsorgen | Oplanerade inläggningar på sjukhus | Personalkontinuitet i hemtjänsten | Samtidig förskrivning av tre eller fler psykofarmaka | Social omsorg och service i särskilt boende | Väntetid till särskilt boende | Vård och omsorg i enskild regi,xlsx_heading_search,personal_kompetens_och_resurser,6,6,184,data/corpus_2026/texts/sections/2008/R2008_S004_kostnader.txt
